group,participant,mean_error,sd_error,mean_complexity,skill_level
Expert,1,2.4268568654016645,0.51200745076004,10.1,1
Expert,2,1.7032667058098265,0.6460867844166569,11.2,1
Expert,3,1.987153575212957,0.585091861776883,11.2,1
Expert,4,1.807785384366485,0.5493883644405492,11.1,1
Expert,5,1.8759631836294166,0.5125618973408174,10.8,1
Expert,6,2.213819739382388,0.6072962769066511,10.7,1
Expert,7,2.268267268990877,0.775231005569289,10.6,1
Expert,8,2.0272436448969513,0.6019099800005113,11.7,1
Expert,9,2.002523830600228,0.42014015322599074,11.1,1
Expert,10,2.0594500237749434,0.5437671394769629,10.1,1
Novice,1,3.8574232899002245,0.995390674447082,5.0,0
Novice,2,3.7691225689822025,1.3869329407593771,5.1,0
Novice,3,3.727920794024077,1.2368828886927494,5.1,0
Novice,4,4.21948516869181,0.9575577121554957,4.1,0
Novice,5,4.620576474892728,1.3769406793065604,4.9,0
Novice,6,4.564334383960668,1.1637204571471604,4.8,0
Novice,7,4.7334112526467305,1.4142009303655363,4.9,0
Novice,8,3.789275833308686,0.9842608405460533,4.9,0
Novice,9,4.383699442585844,1.1588007897092951,5.2,0
Novice,10,6.185328317743649,1.151820560866846,5.2,0
